address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
"7575 BURNET RD Austin TX ",,2015-08-25 00:00:00,Not cleared,,BURGLARY OF VEHICLE,I,30.32936427457502,,7575 BURNET RD,-97.700502411477,Theft,2015-08-24 00:00:00,20155037343.0,,,2015.0,
5339 N IH 35 SVRD NB Austin TX 78723,21.05,2015-06-04 00:00:00,Not cleared,4.0,THEFT OF METAL,I,30.32936427457502,,5339 N IH 35 SVRD NB,-97.700502411477,Theft,2015-05-30 00:00:00,20155023185.0,3124985.0,10087105.0,2015.0,78723.0
(30.332696 -97.704014),18.12,2014-04-02 00:00:00,Not cleared,4.0,THEFT FROM PERSON,I,30.332696,(30.332696-97.704014),800 E ST JOHNS AVE,-97.704014,Theft: Pocket Picking,2014-03-27 00:00:00,2014860579.0,3126215.0,10094471.0,2014.0,78752.0
8940 RESEARCH BLVD SVRD SB Austin TX 78757,18.18,2015-01-12 00:00:00,Not cleared,7.0,THEFT FROM PERSON,I,30.32936427457502,,8940 RESEARCH BLVD SVRD SB,-97.700502411477,Theft,2015-01-07 00:00:00,20158000049.0,3119972.0,10108208.0,2015.0,78757.0
Austin TX 78723,21.05,2014-05-05 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,30.32936427457502,,5451 N IH 35 NB,-97.700502411477,Theft: Shoplifting,2014-05-03 00:00:00,20145019758.0,3124911.0,10087803.0,2014.0,78723.0
1700 NORTHRIDGE DR Austin TX 78723,21.06,2015-03-23 00:00:00,Not cleared,4.0,BURGLARY OF RESIDENCE,I,30.32936427457502,,1700 NORTHRIDGE DR,-97.700502411477,Burglary,2015-03-22 00:00:00,2015801701.0,3129480.0,10087052.0,2015.0,78723.0
1206 ALEGRIA RD Austin TX 78757,15.05,2016-01-14 00:00:00,Not cleared,7.0,BURGLARY OF VEHICLE,I,30.32936427457502,,1206 ALEGRIA RD,-97.700502411477,Theft,2015-12-27 00:00:00,20155056354.0,3118544.0,10094554.0,2015.0,78757.0
7600 CHEVY CHASE DR Austin TX 78752,18.04,2015-08-25 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,I,30.32936427457502,,7600 CHEVY CHASE DR,-97.700502411477,Theft,2015-08-05 00:00:00,20152171827.0,3125780.0,10097553.0,2015.0,78752.0
Austin TX 78752,18.12,2014-08-11 00:00:00,Not cleared,4.0,BURGLARY OF VEHICLE,I,30.32936427457502,,6911 N IH 35 SVRD NB,-97.700502411477,Theft: BOV,2014-07-31 00:00:00,20145033592.0,3125727.0,10093477.0,2014.0,78752.0
(30.312466 -97.670926),21.13,2014-07-18 00:00:00,Not cleared,1.0,BURG NON RESIDENCE SHEDS,I,30.312466,(30.312466-97.670926),3101 LOYOLA LN,-97.670926,"Burglary / ",,,,,,
